Въпрос,Опция A,Опция B,Опция C,Опция D,Индекс на верния отговор (0-3),Ниво на трудност (1-15)
Защо е важно мотоциклетистите да носят каска, сертифицирана по ECE 22.05 или DOT стандарт?,Защото е задължително от закона,Защото предпазва от дъжд,Защото предпазва от сериозни мозъчни травми,Защото подобрява аеродинамиката,2,1
Какъв вид защита осигурява жилетката с D3O технология за мотоциклетисти?,Защита от електричество,Защита от вятър,Защита от вода,Защита от удар,3,2
Кой е правилният начин за спиране на мотоциклет в спешни ситуации?,Използване само на задната спирачка,Използване само на предната спирачка,Последователно използване на двете спирачки,Едновременно и постепенно използване на двете спирачки,3,1
Какво представлява "target fixation" в мотоциклетизма?,Фиксиране на карбуратора,Настройка на фаровете,Тенденция да се удряш в обекта, в който се взираш,Метод за фиксиране на каската,2,2
Каква е максималната скорост, постигната от мотоциклет в официално регистриран рекорд?,Над 400 км/ч,Над 500 км/ч,Около 350 км/ч,Около 450 км/ч,0,2
Кой е изобретателят на първия практически използваем мотоциклет с бензинов двигател?,Готлиб Даймлер,Хенри Форд,Рудолф Дизел,Карл Бенц,0,3
Коя е първата мотоциклетна компания, която въвежда анти-блокираща спирачна система (ABS)?,BMW,Honda,Harley-Davidson,Ducati,0,2
Какво е ATGATT в мотоциклетната общност?,Модел на мотоциклет,Състезателен клас,Тип двигател,Акроним за носене на пълна защитна екипировка,3,2
Какво представлява "wheelie" в мотоциклетизма?,Каране на задна гума,Каране на предна гума,Завъртане на 360 градуса,Дрифтиране,0,1
Какво е "MotoGP"?,Вид мотоциклет,Най-висшата категория в мотоциклетните състезания,Сертификат за качество,Мото общност,1,1
Кой е първият модел мотоциклет, произведен от BMW Motorrad?,R32,K100,S1000RR,GS1200,0,3
Какво представлява "streetfighter" мотоциклетът?,Спортен мотоциклет без обтекатели,Мотоциклет за офроуд,Полицейски мотоциклет,Мотоциклет с кош,0,2
Коя марка мотоциклети има логото с крилете?,Honda,Triumph,Ducati,Moto Guzzi,0,2
Кой е първият масово произвеждан мотоциклет с турбо компресор?,Honda CX500 Turbo,Kawasaki Z1R TC,Yamaha XJ650 Turbo,Suzuki XN85,0,3
Какво е значението на "Ride to Live, Live to Ride" в мотоциклетната култура?,Състезателен лозунг,Каскадьорска философия,Начин на живот, свързан с мотоциклетизма,Инструкция за безопасност,2,1
Кой орган проверява мотоциклетите за техническа изправност в България?,КАТ,ДАИ,МВР,ГТП,3,1
Колко време е валиден знакът "Преминат технически преглед" на мотоциклета?,3 месеца,6 месеца,1 година,2 години,2,1
Какви задължителни документи трябва да носи мотоциклетистът в България?,Само шофьорска книжка,Шофьорска книжка и лична карта,Шофьорска книжка, лична карта и регистрационен талон,Шофьорска книжка, лична карта, регистрационен талон и застраховка,2,1
Каква категория шофьорска книжка е необходима за управление на мотоциклет с обем над 125 cc в България?,A1,A2,A,B,2,1
Кой е правилният начин за съхранение на мотоциклетна каска?,В херметически затворена кутия,На пряка слънчева светлина,На сухо и проветриво място,В найлонова торба,2,1
